X,Variedad,Tratat_quim_semilla,Labranza,Dehierbe,Escarda,Arreglo,Barbecho,Rastreo,Nivelacion,Trazos,Reformacion_surcos,Preparacion_suelo,Fertilizacion_quimica_suelo,Fertilizacion_quimica_foliar,Biofertilizantes,Mejoradores,Control_quimico_malezas,N,P,K,TM_Avg,TX_Avg,SD_Acu,P_Acu,D_Range,TX_34_Frec,TM_15_Frec,P_10_Frec,Rendimiento,latitud_n,longitud_w,fecha_de_siembra,Drenaje_in,Arena_prc,Arcilla_pr,Limo_prc,CE,PH,MO,CIC,SB_prc,Sloperast
257,ANTILOPE,0,Ag conservacion,0,0,0,0,0,0,0,1,0,3,2,1,0,2,304.25,22.5,30,14.06280193,28.7826087,105372.844,484,14.71980676,0.004830918,0.536231884,0.90821256,16.3,257,257,4/22/2017,3,24,48,9,2,7.197488844,1.532711559,34.55572422,96.0652222,0.039723693
258,BERRENDO,0,Convencional,0,0,0,0,0,0,0,1,0,3,1,1,0,2,334.75,22.5,30,12.89568345,27.07194245,68031.48135,342,14.17625899,0,0.776978417,0.899280576,13.2,258,258,7/10/2017,3,27,40,14,2,7.278255713,1.019558155,32.35618467,91.24216594,1.964605783
259,P3055W,0,Convencional,0,0,0,1,2,0,1,0,0,3,1,1,0,1,275.65,35.6,21.2,13.25,28.04166667,101536.416,481,14.79166667,0,0.62745098,0.906862745,8.6,259,259,5/15/2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.048402384
260,ANTILOPE,0,Convencional,1,0,0,1,1,0,0,0,0,3,0,1,0,2,205,0,0,13.98522167,28.62807882,102820.216,466,14.64285714,0.004926108,0.566502463,0.916256158,16.1,260,260,4/26/2017,3,20,49,12,14,6.963227906,1.144461575,39.26217863,87.37382716,3.927638618
261,P3015W,0,Convencional,0,0,0,0,0,0,0,1,0,3,1,1,0,3,294.25,46,15,13.11321567,27.78712871,98153.6138,470,14.67391304,0,0.569306931,0.905940594,11.9,261,261,5/26/2017,3,20,49,12,14,6.963227906,1.144461575,39.26217863,87.37382716,1.817335544
262,DEKALB 2061,0,Ag conservacion,0,0,0,0,0,0,0,1,0,3,1,1,0,2,250,6,0,13.98507463,28.58706468,100192.0682,488,14.60199005,0.009950249,0.467661692,0.905472637,13.1,262,262,5/9/2017,3,27,40,14,2,7.278255713,1.019558155,32.35618467,91.24216594,1.169889979
263,DEKALB 2069,0,Convencional,0,0,2,0,2,0,1,0,0,3,1,1,0,2,325.25,50,30,14.10386473,28.77777778,104722.3519,481,14.67391304,0.004830918,0.512077295,0.90821256,12.2,263,263,4/24/2017,3,27,40,14,2,7.278255713,1.019558155,32.35618467,91.24216594,0.105585415
264,P3015W,0,Convencional,1,0,1,1,2,0,1,0,0,3,2,1,0,2,263,69,30,13.47863248,28.6517094,118423.8471,467,15.17307692,0.012820513,0.572649573,0.918803419,9.7,264,264,4/11/2017,3,27,40,14,2,7.278255713,1.019558155,32.35618467,91.24216594,0.275130942
265,CIMARRON,0,Convencional,0,0,0,0,0,0,0,0,0,3,2,0,0,2,351,40,40,13.55025126,28.16582915,98565.25992,450,14.61557789,0.010050251,0.51758794,0.909547739,9,265,265,5/20/2017,3,24,48,9,2,7.197488844,1.532711559,34.55572422,96.0652222,1.203240689
266,P3015W,0,Convencional,0,1,1,0,2,0,1,0,0,3,1,0,0,1,254.2,52.3,30.1,12.8525641,28.01495726,114305.547,457,15.16239316,0.012820513,0.572649573,0.918803419,8,266,266,5/9/2017,3,27,40,14,2,7.278255713,1.019558155,32.35618467,91.24216594,0.941052706
267,CIMARRON,0,Cero Minima,0,1,0,0,2,1,1,0,0,3,1,0,0,1,211.45,69.3,0.1,14.08385093,27.96273292,79529.23596,447,13.87888199,0,0.49068323,0.881987578,10,267,267,6/10/2017,3,27,40,14,2,7.278255713,1.019558155,32.35618467,91.24216594,0.090879529
268,CIMARRON,0,Cero Minima,0,1,0,0,2,1,1,0,0,2,1,0,0,1,249.8,69.45,30.15,14.25,28.46153846,90808.71547,469,14.21153846,0.010989011,0.43956044,0.89010989,10,268,268,5/20/2017,3,27,40,14,2,7.278255713,1.019558155,32.35618467,91.24216594,0.090879529
269,ANTILOPE,0,Ag conservacion,0,0,0,0,0,0,0,1,1,3,1,1,0,1,336.25,78,60,13.0952381,27.55820106,93301.05692,476,14.46296296,0,0.746031746,0.91005291,12,269,269,5/25/2017,3,27,40,14,2,7.278255713,1.019558155,32.35618467,91.24216594,0.195868885
270,P3055W,0,Ag conservacion,0,0,0,0,0,0,0,1,1,3,1,1,0,2,239.5,67.5,45,13.5625,27.56845238,84234.40984,458,14.00595238,0,0.875,0.886904762,10,270,270,5/20/2017,3,24,48,9,2,7.197488844,1.532711559,34.55572422,96.0652222,0.948486027
271,ANTILOPE,0,Convencional,0,0,0,1,2,1,1,0,0,3,1,0,0,2,538,52.68,60.72,13.49047619,28.6,109112.3989,500,15.10952381,0,0.742857143,0.919047619,15.1,271,271,3/27/2017,3,27,40,14,2,7.278255713,1.019558155,32.35618467,91.24216594,0.304190726
272,P3055W,0,Ag conservacion,0,0,0,0,0,0,0,1,1,3,1,0,0,1,378.6147,46.08,90.06,13.53395062,27.39814815,81159.85471,454,13.86419753,0,0.858024691,0.882716049,14,272,272,5/29/2017,3,24,48,9,2,7.197488844,1.532711559,34.55572422,96.0652222,0.668176819
273,ANTILOPE,0,Ag conservacion,0,0,0,0,0,0,0,1,1,3,2,0,0,1,356.4,52.6,90.2,13.75581395,27.82848837,86117.511,475,14.07267442,0,0.715116279,0.901162791,14,273,273,5/22/2017,3,27,40,14,2,7.278255713,1.019558155,32.35618467,91.24216594,0.37271186
274,P3055W,0,Ag conservacion,0,0,0,0,0,0,0,1,1,3,1,0,0,1,307.75,52,30,13.96130952,27.89285714,84071.52726,480,13.93154762,0,0.68452381,0.898809524,13,274,274,5/20/2017,3,27,40,14,2,7.278255713,1.019558155,32.35618467,91.24216594,0.383960374
275,ANTILOPE,0,Ag conservacion,0,0,0,0,0,0,0,1,1,3,1,0,0,1,349.7294,90.16,81.12,13.72485207,27.73668639,84395.89753,484,14.01183432,0,0.715976331,0.899408284,15,275,275,5/26/2017,3,27,40,14,2,7.278255713,1.019558155,32.35618467,91.24216594,0.420291968
276,ANTILOPE,0,Convencional,0,0,0,1,2,1,1,0,0,3,1,0,0,2,349.9,90.6,81.2,13.30288462,28.16826923,106463.6417,484,14.86538462,0,0.841346154,0.908653846,13.5,276,276,4/18/2017,3,24,48,9,2,7.197488844,1.532711559,34.55572422,96.0652222,0.434422309
277,DEKALB 2061,0,Convencional,0,0,0,1,2,1,1,0,0,3,3,1,0,2,352,104.68,60.72,13.27020202,27.88383838,99512.29002,460,14.61363636,0,0.873737374,0.904040404,14,277,277,5/2/2017,3,24,48,9,2,7.197488844,1.532711559,34.55572422,96.0652222,0.912745939
278,P3055W,0,Ag conservacion,0,0,0,0,0,0,0,1,1,3,3,1,0,1,390,69,60,13.01648352,27.35989011,89857.0849,455,14.34340659,0,0.873626374,0.89010989,15.99,278,278,5/26/2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.272159025
279,P3055W,0,Convencional,0,0,0,1,2,1,1,0,0,2,1,0,0,1,224,70,63,13.49193548,28.11021505,95193.38168,473,14.61827957,0,0.892473118,0.892473118,10,279,279,4/18/2017,3,24,48,9,2,7.197488844,1.532711559,34.55572422,96.0652222,0.229115353
280,P3055W,0,Convencional,0,0,0,1,2,1,0,0,0,1,1,1,0,1,265,42,56,13.24093264,27.93523316,98830.84006,464,14.69430052,0,0.911917098,0.896373057,12,280,280,4/18/2017,3,35,48,46,1,6.322857143,0.31,19.31142857,77.62714286,0.834093074
281,ANTILOPE Y,0,Convencional,0,0,1,0,1,0,0,2,0,3,0,1,0,2,137.18,54.6,2.72,12.16769104,27.16815903,111988.264,371,15.00046799,0.017316017,0.761904762,0.939393939,8.2,281,281,5/17/2017,4,32,25,23,2,6.611705828,1.240606361,17.89228902,77.69384152,5.970208626
